threat_id,name,source_ids,asset_ids,consequence_ids,security_properties,status,bdu_search_key,rationale
T-01,Компрометация учетной записи пользователя,N-01;N-02;N-03,A-02;A-03,C-01;C-03;C-06,К;Ц,Актуальна,несанкционированный доступ с использованием учетных данных,Система использует персональные учетные записи и удаленно доступный интерфейс
T-02,Эксплуатация уязвимости внешнего сервиса,N-01;N-02,A-08;A-05,C-02;C-04;C-08,К;Ц;Д,Актуальна,эксплуатация уязвимости сетевого сервиса,В архитектуре присутствуют опубликованные веб-интерфейсы и API
T-03,Подмена данных при интеграционном взаимодействии,N-02;N-03;N-07,A-01;A-06,C-01;C-05,Ц,Актуальна,подмена данных передаваемых по каналу связи,Система принимает сведения от внешних источников
T-04,Несанкционированное изменение конфигурации,N-03;N-05;N-06;N-07,A-05,C-04;C-06,Ц;Д,Актуальна,несанкционированное изменение конфигурации,Изменение параметров компонентов непосредственно влияет на режим защиты
T-05,Внедрение недоверенного кода в программную поставку,N-02;N-08,A-08;A-05,C-01;C-07;C-08,К;Ц;Д,Актуальна,компрометация процесса обновления программного обеспечения,Программные компоненты обновляются в течение жизненного цикла
T-06,Удаление или повреждение резервных копий,N-02;N-05;N-07,A-07,C-02;C-09,Ц;Д,Актуальна,уничтожение резервных копий,Резервные копии необходимы для восстановления функций системы
T-07,Удаление или модификация журналов безопасности,N-03;N-05;N-06,A-04,C-06,Ц;Д,Актуальна,модификация журналов регистрации событий,Привилегированные пользователи могут воздействовать на источники журналов
T-08,Нарушение доступности внешнего сервиса,N-01;N-02,A-08,C-02;C-05,Д,Актуальна,отказ в обслуживании сетевого ресурса,Внешние интерфейсы доступны по сетевым каналам
T-09,Повышение привилегий в операционной системе,N-01;N-02;N-03,A-02;A-03;A-05,C-03;C-04;C-06,К;Ц,Актуальна,повышение привилегий,Эксплуатация уязвимости или ошибки настройки может привести к получению административных прав
T-10,Несанкционированный доступ к базе данных,N-01;N-02;N-03;N-05,A-01;A-02;A-06,C-01;C-03;C-05,К;Ц,Актуальна,несанкционированный доступ к базе данных,База данных содержит основные информационные ресурсы системы
T-11,Раскрытие интеграционных ключей и секретов,N-02;N-03;N-05;N-08,A-06;A-05,C-01;C-05,К,Актуальна,компрометация аутентификационной информации,Секреты используются для межсистемного взаимодействия и администрирования
T-12,Запуск вредоносного программного обеспечения на рабочей станции,N-01;N-03;N-04,A-08;A-02,C-01;C-03;C-08,К;Ц;Д,Актуальна,запуск вредоносного кода,Рабочие станции используются для доступа к прикладным и административным функциям
T-13,Обход сетевой сегментации,N-01;N-02;N-03;N-05,A-05;A-08,C-03;C-04;C-08,К;Ц,Актуальна,обход межсетевого экранирования,Компоненты размещены в сегментах с различным уровнем доверия
T-14,Несанкционированное подключение к административному интерфейсу,N-01;N-02;N-03,A-02;A-05,C-03;C-04;C-06,К;Ц,Актуальна,несанкционированный удаленный доступ,Компоненты имеют интерфейсы администрирования
T-15,Использование неучтенного или устаревшего программного компонента,N-05;N-06;N-08,A-05;A-08,C-04;C-07;C-08,Ц;Д,Актуальна,использование уязвимого программного обеспечения,Состав программных компонентов изменяется при сопровождении системы
T-16,Несанкционированный экспорт информации,N-03;N-04;N-05,A-01;A-06,C-01;C-05,К,Актуальна,несанкционированное копирование информации,Пользователям доступны функции просмотра и выгрузки сведений
T-17,Ошибочное назначение полномочий пользователю,N-03;N-05;N-06,A-02;A-03,C-03;C-04,К;Ц,Актуальна,ошибка управления доступом,Ролевые назначения изменяются администраторами в процессе эксплуатации
T-18,Нарушение синхронизации времени компонентов,N-02;N-05;N-07,A-04;A-05,C-06;C-07,Ц;Д,Актуальна,нарушение синхронизации времени,Корреляция событий и расследование инцидентов зависят от согласованного времени
